Código,Distrito,Sí tiene conexión a internet,No tiene conexión a internet
40516,"Arequipa, Caylloma, distrito: Tapay",1,201
40517,"Arequipa, Caylloma, distrito: Tisco",2,618
40518,"Arequipa, Caylloma, distrito: Tuti",9,253
40519,"Arequipa, Caylloma, distrito: Yanque",64,668
40520,"Arequipa, Caylloma, distrito: Majes",   2 920,   17 169
40601,"Arequipa, Condesuyos, distrito: Chuquibamba",211,857
40602,"Arequipa, Condesuyos, distrito: Andaray",2,165
40603,"Arequipa, Condesuyos, distrito: Cayarani",1,744
40604,"Arequipa, Condesuyos, distrito: Chichas",1,233
40605,"Arequipa, Condesuyos, distrito: Iray",38,178
40606,"Arequipa, Condesuyos, distrito: Río Grande",3,   1 069
40607,"Arequipa, Condesuyos, distrito: Salamanca",0,212
40608,"Arequipa, Condesuyos, distrito: Yanaquihua",16,   1 319
40701,"Arequipa, Islay, distrito: Mollendo",   2 355,   5 031
40702,"Arequipa, Islay, distrito: Cocachacra",291,   2 568
40703,"Arequipa, Islay, distrito: Dean Valdivia",293,   1 925
40704,"Arequipa, Islay, distrito: Islay",298,   1 326
40705,"Arequipa, Islay, distrito: Mejia",79,225
40706,"Arequipa, Islay, distrito: Punta de Bombón",226,   2 150
40801,"Arequipa, La Unión, distrito: Cotahuasi",36,968
40802,"Arequipa, La Unión, distrito: Alca",1,589
40803,"Arequipa, La Unión, distrito: Charcana",0,192
40804,"Arequipa, La Unión, distrito: Huaynacotas",1,617
40805,"Arequipa, La Unión, distrito: Pampamarca",0,406
40806,"Arequipa, La Unión, distrito: Puyca",3,772
40807,"Arequipa, La Unión, distrito: Quechualla",0,117
